AlgoType,SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn30,AudioUrl,UniqueName
lof,fs1,186,conc avg feat spectral (normal),17,1,2020,3,3,18,0,20200303_180000.WAV,2.1355,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_180000.WAV,yat1_20200303_180000
lof,fs1,186,conc avg feat tonaless (normal),112,1,2020,3,19,14,0,20200319_140000.WAV,3.0764,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200319_140000.WAV,yat1_20200319_140000
lof,fs1,186,conc avg feat tonaless (normal),89,1,2020,3,15,18,0,20200315_180000.WAV,2.7308,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200315_180000.WAV,yat1_20200315_180000
lof,fs1,186,conc avg feat tonaless (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,2.7072,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
lof,fs1,186,conc avg feat time (normal),41,1,2020,3,7,18,0,20200307_180000.WAV,2.8588,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_180000.WAV,yat1_20200307_180000
lof,fs1,186,conc avg feat time (normal),11,1,2020,3,2,18,0,20200302_180000.WAV,2.5127,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200302_180000.WAV,yat1_20200302_180000
lof,fs1,186,conc avg feat time (normal),131,1,2020,3,22,18,0,20200322_180000.WAV,2.0226,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200322_180000.WAV,yat1_20200322_180000
lof,fs1,186,feature 'SpectralCentroid' (normal),145,1,2020,3,25,2,0,20200325_020000.WAV,3.9765,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200325_020000.WAV,yat1_20200325_020000
lof,fs1,186,feature 'SpectralCentroid' (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,3.8735,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
lof,fs1,186,feature 'SpectralCentroid' (normal),139,1,2020,3,24,2,0,20200324_020000.WAV,3.7835,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200324_020000.WAV,yat1_20200324_020000
lof,fs1,186,feature 'SpectralCrestFactor' (normal),5,1,2020,3,1,18,0,20200301_180000.WAV,3.8029,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200301_180000.WAV,yat1_20200301_180000
lof,fs1,186,feature 'SpectralCrestFactor' (normal),13,1,2020,3,3,2,0,20200303_020000.WAV,3.2647,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_020000.WAV,yat1_20200303_020000
lof,fs1,186,feature 'SpectralCrestFactor' (normal),22,1,2020,3,4,14,0,20200304_140000.WAV,3.1548,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_140000.WAV,yat1_20200304_140000
lof,fs1,186,feature 'SpectralDecrease' (normal),64,1,2020,3,11,14,0,20200311_140000.WAV,3.4445,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_140000.WAV,yat1_20200311_140000
lof,fs1,186,feature 'SpectralDecrease' (normal),13,1,2020,3,3,2,0,20200303_020000.WAV,3.0584,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_020000.WAV,yat1_20200303_020000
lof,fs1,186,feature 'SpectralDecrease' (normal),5,1,2020,3,1,18,0,20200301_180000.WAV,3.0433,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200301_180000.WAV,yat1_20200301_180000
lof,fs1,186,feature 'SpectralFlatness' (normal),106,1,2020,3,18,14,0,20200318_140000.WAV,3.0872,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200318_140000.WAV,yat1_20200318_140000
lof,fs1,186,feature 'SpectralFlatness' (normal),64,1,2020,3,11,14,0,20200311_140000.WAV,2.9919,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_140000.WAV,yat1_20200311_140000
lof,fs1,186,feature 'SpectralFlatness' (normal),42,1,2020,3,7,22,0,20200307_220000.WAV,2.8451,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_220000.WAV,yat1_20200307_220000
lof,fs1,186,feature 'SpectralFlux' (normal),64,1,2020,3,11,14,0,20200311_140000.WAV,2.856,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_140000.WAV,yat1_20200311_140000
lof,fs1,186,feature 'SpectralFlux' (normal),22,1,2020,3,4,14,0,20200304_140000.WAV,2.6854,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_140000.WAV,yat1_20200304_140000
