SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn200,AudioUrl,UniqueNames
fs1,186,conc avg feat all (zscore),54,1,2020,3,9,22,0,20200309_220000.WAV,0.4221,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_220000.WAV,yat1_20200309_220000
fs1,186,conc avg feat all (zscore),79,1,2020,3,14,2,0,20200314_020000.WAV,0.42049,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200314_020000.WAV,yat1_20200314_020000
fs1,186,conc avg feat all (zscore),182,1,2020,3,31,6,0,20200331_060000.WAV,0.41914,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200331_060000.WAV,yat1_20200331_060000
fs1,186,conc avg feat all (zscore),100,1,2020,3,17,14,0,20200317_140000.WAV,0.41851,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200317_140000.WAV,yat1_20200317_140000
fs1,186,conc avg feat all (zscore),30,1,2020,3,5,22,0,20200305_220000.WAV,0.41634,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200305_220000.WAV,yat1_20200305_220000
fs1,186,conc avg feat all (zscore),130,1,2020,3,22,14,0,20200322_140000.WAV,0.4159,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200322_140000.WAV,yat1_20200322_140000
fs1,186,conc avg feat all (zscore),71,1,2020,3,12,18,0,20200312_180000.WAV,0.41532,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200312_180000.WAV,yat1_20200312_180000
fs1,186,conc avg feat all (zscore),183,1,2020,3,31,10,0,20200331_100000.WAV,0.41431,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200331_100000.WAV,yat1_20200331_100000
fs1,186,conc avg feat all (zscore),95,1,2020,3,16,18,0,20200316_180000.WAV,0.41226,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_180000.WAV,yat1_20200316_180000
fs1,186,conc avg feat all (zscore),167,1,2020,3,28,18,0,20200328_180000.WAV,0.41022,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200328_180000.WAV,yat1_20200328_180000
fs1,186,conc avg feat all (zscore),158,1,2020,3,27,6,0,20200327_060000.WAV,0.4095,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200327_060000.WAV,yat1_20200327_060000
fs1,186,conc avg feat all (zscore),18,1,2020,3,3,22,0,20200303_220000.WAV,0.40919,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_220000.WAV,yat1_20200303_220000
fs1,186,conc avg feat all (zscore),122,1,2020,3,21,6,0,20200321_060000.WAV,0.40902,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200321_060000.WAV,yat1_20200321_060000
fs1,186,conc avg feat all (zscore),68,1,2020,3,12,6,0,20200312_060000.WAV,0.40777,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200312_060000.WAV,yat1_20200312_060000
fs1,186,conc avg feat all (zscore),119,1,2020,3,20,18,0,20200320_180000.WAV,0.40752,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200320_180000.WAV,yat1_20200320_180000
fs1,186,conc avg feat all (zscore),92,1,2020,3,16,6,0,20200316_060000.WAV,0.40694,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_060000.WAV,yat1_20200316_060000
fs1,186,conc avg feat all (zscore),73,1,2020,3,13,2,0,20200313_020000.WAV,0.40622,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200313_020000.WAV,yat1_20200313_020000
